FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s
136,17.6275740740741,11.4963467560332,2.39860714285714,1.23209276928848,21.4835357142857,7.30961904830864,7.83203571428571,7.83203571428571
137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139,7.20278571428572,1.1421577293418,6.33317241379311,1.03137023039176,15.4971724137931,3.0334488834359,5.20824137931036,5.20824137931036
140,4.6122380952381,2.78790071916099,3.88900000000002,2.10207763497086,15.5097142857143,3.03342016258558,4.49814285714285,4.49814285714285
141,3.886,0.973628241143387,5.492,3.01239282141465,15.5075,3.03428750296517,5.191,5.191
142,NaN,NaN,7.561,2.42449111302912,15.536,3.04301888984673,0,0
143,4.78,1.83492968992466,6.779,2.54885379252235,15.4965,3.03586136116329,4.8565,4.8565
144,NaN,NaN,9.824,4.7391437500337,16.096,3.44450992866165,9.203,9.203
145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
147,8.00995238095236,1.604970527844,7.70900000000001,1.34384554142451,15.5222857142857,3.02638214150451,6.22414285714285,6.22414285714285
148,6.92133333333326,1.99488568650828,7.93625,2.20904466134477,15.55925,3.02850603207032,7.4765,7.4765
149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,12.7591666666667,4.2694495813284,9.69425,3.13508902915383,16.422,2.88320201405553,8.1885,8.1885
151,8.48900000000004,4.48379614526762,11.0693333333333,5.59828151015809,16.769,3.54193385123405,7.69266666666667,7.69266666666667
152,NaN,NaN,8.139,6.67249587494821,16.335,3.5283458198176,0,0
153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
154,113.153694444445,8.54056292442989,72.3985555555555,6.64409521108882,75.1265555555556,5.77363933712054,0,0
155,75.7386944444445,9.01578973353433,41.1242222222223,4.58054874545894,49.1623333333333,6.67437777357137,3.26566666666666,3.26566666666666
156,5.58133333333331,2.62893442007859,6.3965,3.11755222600711,15.57575,2.99381234379343,4.96375,4.96375
157,8.0861333333334,3.44831693966535,7.9355,2.8751658301345,15.7193333333333,2.93957301899076,7.064,7.064
158,8.19985714285713,3.4281980822064,8.19228571428572,2.80867034714201,15.8224285714286,2.97999139872779,6.88400000000001,6.88400000000001
159,NaN,NaN,6.164,3.18955753628575,15.512,3.03002261328806,4.593,4.593
160,11.8465,3.60723993240398,10.0184,3.20129813509298,16.3978,2.92260445096095,8.19519999999999,8.19519999999999
161,8.83022222222222,3.42811136275014,11.6621111111111,6.47913997363909,17.4002222222222,4.01396429865443,8.24466666666665,8.24466666666665
162,152.722133333333,11.4548141550759,101.693333333333,8.15801295645084,104.0025,7.6847337114274,10.5015,10.5015
163,5.9470644820296,3.49304136533394,2.85656818181818,1.42204188840129,15.5791136363636,3.02734171772394,7.31556818181819,7.31556818181819
164,12.5685652173913,7.21454060555378,1.96258333333333,1.28037121750736,17.973625,4.17118005281042,9.419375,9.419375
