FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
69,72.6895916666666,5.25953456917725,42.7726875,4.1591068952673,47.9585625,3.48741763115315,43.36,43.36,-0.0198497606926788,-0.0226094482386309,-0.0016172682089048,-0.021846867487716
70,110.880083333333,8.39246687527376,68.5584444444444,5.94364980027061,72.8716666666666,5.27063273091561,68.5651111111111,68.5651111111111,-0.01913718990885,-0.0193327929560229,-0.00101749698785845,-0.0193854930583515
71,5.2028,2.31580982274779,8.25220000000002,4.80443105036567,14.7962,2.96692909052917,8.24980000000002,8.24980000000002,-0.389048720628461,-0.182918135371695,-0.00673979297289328,-0.183769985752728
72,10.904619047619,4.27046531912417,9.24014285714285,3.9439890622557,15.4635714285714,2.73135433823786,9.18214285714285,9.18214285714285,-0.0833006412943131,-0.0967223874625783,-0.00553983536522298,-0.0999159781683126
73,12.0425357142857,4.21729923119138,11.64425,4.21622235756945,16.016,2.8958653777906,11.646,11.646,-0.0941788964041114,-0.0789871765717846,-0.00409622634176686,-0.0796676972923849
75,7.06624285714286,1.63125479876679,7.47295238095238,1.79672353539107,14.9512857142857,3.75295433400495,6.98914285714286,6.98914285714286,-0.419112425875292,-0.377538028295716,-0.0265486451276396,-0.414268554144589
76,9.789,5.74015926855944,10.771,3.87518723109944,15.8405,3.62911562646194,10.2695,10.2695,-0.266961210124307,-0.176088120553813,-0.0140972179000436,-0.209247709247709
77,8.24410714285712,2.57890925294488,9.163625,2.75921968637016,15.236625,3.53239944375,8.3005,8.3005,-0.313354829956353,-0.238118498040968,-0.0177048916109276,-0.291290009285249
78,9.1660606060606,2.83713953610684,9.18800000000001,2.50117376516244,15.3561666666667,3.49497641847857,8.26166666666669,8.26166666666669,-0.280470805335934,-0.25432165555138,-0.0183309804718152,-0.317865940084491
79,10.7385596638655,2.85926098121058,9.70302857142857,2.48064753543348,15.7434571428571,3.3575632888429,4.90831428571428,4.90831428571428,-0.184132457425681,-0.204558017591894,-0.0165853432167871,-0.343042888022451
