FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
123,5.0858095238095,1.896614203175,4.75085714285714,1.55180250992364,14.1267142857143,2.97444815924839,4.70385714285714,4.70385714285714,-0.328694624629149,-0.352920574386114,-0.0129757353761441,-0.361211345192208
124,4.371,5.31013715044697,3.723,3.23020203783065,14.496,2.85974861870098,1.0345,1.0345,-0.16837899543379,-0.179504132231405,-0.00824410768651866,-0.321639344262295
125,2.177,2.67614970090727,0,0,14.36525,2.82659593541102,2.34375,2.34375,-0.0126984126984123,NaN,-0.00874620480264981,-0.203348062542488
126,7.069,15.0550842318432,5.13066666666667,7.76240677618478,15.7246666666667,7.16179171673732,3.46433333333336,3.46433333333336,-0.150530743034231,-0.176722293538724,-0.00813691890243319,-0.197389759842255
127,4.31521212121212,3.10344486428759,1.50083333333333,1.07341556303743,14.47075,2.79349133964973,1.72491666666666,1.72491666666666,-0.0958517065278415,-0.189359499448289,-0.00883576773574863,-0.118628912091748
128,4.36666666666667,3.47676079755583,4.80466666666666,3.80246605263148,14.52,2.88831903211466,4.42666666666664,4.42666666666664,-0.290203727785003,-0.234925690021239,-0.00821930284106025,-0.266986807970426
129,3.93189285714286,2.4411089758888,3.79,2.40330910301706,14.262125,2.82203738536175,0.278125,0.278125,-0.254768835016202,-0.232618764394726,-0.009213428506921,-0.30207026348808
130,3.46333333333331,2.80457346114622,2.77133333333334,2.02348034211286,14.2453333333333,2.83165574783982,0,0,-0.175593112750929,-0.22595661486137,-0.0093878213322332,NaN
131,3.66033333333334,2.26138265629346,4.80725,3.26955270830925,14.2835,2.80862798197648,4.00525,4.00525,-0.30660183754659,-0.191821123859959,-0.00876142889363112,-0.260989898058029
132,NaN,NaN,4.808,3.42941640762633,14.287,2.88807409392002,3.595,3.595,NaN,-0.308599367270636,-0.00984129184281648,-0.422489959839357
133,3.04,0.714780323533677,6.5995,5.55902442003114,14.817,3.36999523261797,5.203,5.203,-0.496271748135874,-0.213596282173499,-0.00816654394537787,-0.31413129448985
134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135,5.69533333333333,4.74190509037333,4.51633333333333,3.05456984737753,14.6306666666667,2.79154418578023,1.54299999999999,1.54299999999999,-0.152690304976318,-0.160792815103076,-0.00784375777206631,-0.31412061041427
136,9.06075132275133,4.7297200163116,1.98560714285714,1.23217852428186,15.6245,2.9883432285087,4.74732142857143,4.74732142857143,-0.0311160698364598,-0.136357281544924,-0.00644525395053602,-0.110958766670024
137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
139,4.76616502463054,1.6941695159025,4.06106896551724,1.38056213217301,14.236,2.83718710729684,3.04731034482758,3.04731034482758,-0.33395048471155,-0.35565744051094,-0.00976695545596479,-0.413438115999668
140,3.88838095238095,3.01581117294553,3.06300000000001,2.21612443550359,14.262,2.82949025025724,3.42628571428572,3.42628571428572,-0.152989990136218,-0.208731593903387,-0.00937695353198583,-0.237271426307434
141,2.113,1.02042749486296,4.4195,3.55674291595136,14.2855,2.81721075293036,3.9455,3.9455,-0.455552692604999,-0.186844526218951,-0.00853662768504695,-0.239348370927318
142,NaN,NaN,5.44,3.20572560845071,14.296,2.85526470516072,0,0,NaN,-0.272630030752774,-0.00887409872434831,NaN
