FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Ca_s,RL_Ch_m,RL_Ch_s,RL_Cm_n,RL_Ca_n,RL_Ch_n,Node_den
22,122.382471287801,9.12335349674211,276.042,21.2540342045921,276.042,21.2540342045921,276.042,276.042,30088.578,30088.578,30088.578,3.69275776710875
23,12.5047631316617,2.14240293161221,10.5391481481482,1.31489502409335,15.380450617284,2.6659716818994,8.95491358024691,8.95491358024691,1707.342,2491.633,1450.696,51.0790635010298
24,35.4896658536585,2.24752768251339,22.5301219512195,1.37096349990601,27.2011707317073,2.69163964558509,21.6632926829268,21.6632926829268,923.734999999999,1115.248,888.194999999999,50.3967498952145
25,112.974,8.30252916637211,67.5275555555555,4.85238351981315,72.6233333333334,5.13644076812973,62.5116666666667,62.5116666666667,607.748,653.61,562.605,19.339818545287
26,8.95349047619047,3.10865749916033,8.62325000000001,3.98806344537477,16.8090277777778,4.16264602058908,13.5909722222222,13.5909722222222,310.437,605.125000000001,489.274999999999,23.9235374870987
27,82.907717948718,6.19639802391347,47.727076923077,3.61905802513213,54.6622307692308,3.97202825793758,47.728,47.728,620.452000000001,710.609,620.464,22.6338524863016
28,8.52966666666669,2.09862274829515,8.22166666666666,1.78699048729094,14.447,2.63031442957737,5.3775,5.3775,49.3299999999999,86.682,32.265,12.8535059651493
29,9.515,2.73738347117612,7.9115,1.6489805598875,14.4115,2.63179484270604,7.3455,7.3455,15.823,28.823,14.691,6.27992915004142
30,10.846,4.19617586522443,9.026,2.25508523329151,14.6985,2.75016566067594,5.004,5.004,18.052,29.397,10.008,5.54608252609903
31,76.6981904761904,5.56627873131565,45.5757333333333,3.38453535094021,49.7643333333333,3.58888580530862,10.1885333333333,10.1885333333333,683.636,746.465,152.828,29.9951382996187
32,10.3866263736263,2.25159814296368,9.87878571428573,1.91120370249997,14.693,2.53915548075603,8.94399999999999,8.94399999999999,138.303,205.702,125.216,14.8975041943983
33,74.2800948616601,5.3017523699153,42.9838260869565,3.43335177061006,49.1719565217391,3.45994409374579,5.00882608695652,5.00882608695652,988.627999999999,1130.955,115.203,26.7492484223343
34,7.27566666666663,1.78954970727875,6.88388888888889,1.61856198245208,14.3621111111111,2.62013097163687,1.48822222222222,1.48822222222222,61.955,129.259,13.394,30.8296110346358
35,9.71169590643274,2.11679249917707,8.7228947368421,1.79226437456074,14.6105789473684,2.55974872391727,4.5788947368421,4.5788947368421,165.735,277.601,86.999,47.0259762243049
36,9.87640000000001,1.21486361994073,9.4218,1.45939699862635,14.5314,2.58855068226114,7.95389999999999,7.95389999999999,188.436,290.628,159.078,45.6265213847407
37,68.6515277777778,5.18489649374789,38.6193333333334,3.3023408567479,43.7017777777778,3.31234288207831,37.3113333333334,37.3113333333334,347.574,393.316,335.802,29.0092641451015
38,7.51405454545455,4.7784344617937,0,0,15.5569090909091,3.12688844519661,8.30745454545455,8.30745454545455,0,171.126,91.3820000000001,40.0639365948384
39,7.2853567251462,2.97128591449822,5.99563157894736,2.50242471874046,14.5652631578947,2.54587397018312,5.80757894736842,5.80757894736842,113.917,276.74,110.344,60.799012774425
40,9.31361823361823,2.52274677572266,7.54496296296296,1.92424766389556,14.7582962962963,2.57483080121577,4.15107407407408,4.15107407407408,203.714,398.474,112.079,63.972146646992
41,14.4551448275862,4.98651647346365,6.18696666666668,3.25487513157142,17.0327666666667,3.06392587460898,8.56916666666666,8.56916666666666,185.609,510.983,257.075,30.4506874458591
42,12.1588823529412,6.98504642477359,2.57911111111112,1.55813360259427,18.052,5.18706407638251,12.6219444444444,12.6219444444444,46.4240000000002,324.936,227.195,106.634801085425
43,5.7277857142857,2.90687385773935,5.185625,2.4726348107398,14.513875,2.61189372835558,5.229875,5.229875,41.485,116.111,41.839,98.5512108485996
44,6.31582857142857,2.26831024708834,5.76979999999999,1.96988989641091,14.4727333333333,2.6091517952907,5.47133333333332,5.47133333333332,86.5469999999999,217.091,82.0699999999997,84.7579831193071
