FID,RL_Eg_m,RL_Eg_s,RL_Cm_m,RL_Cm_s,RL_Ca_m,RL_Cam_s,RL_Ch_m,RL_Ch_s,RL_Eg_d,RL_Cm_d,RL_Ca_d,RL_Ch_d
550,28.4687782258065,5.46870031728895,13.991125,2.82156622923971,25.51615625,3.68763621831819,17.60096875,17.60096875,0.000140595383556639,0.000923311491315754,-2.69429874138706e-05,0.000133178018169114
551,24.5260263157895,12.8300100683646,16.50175,7.02491130309247,22.63725,7.05751574323189,16.4229,16.4229,-0.000209186169253644,-0.000112096754647102,-3.75473206672045e-05,-0.000240459978633605
552,11.8979065346535,3.85388048574913,7.94030693069306,2.35434243436718,16.8544554455445,3.29318186435531,9.74032673267328,9.74032673267328,-0.000170847027344126,0.000581406229529213,-2.93711633918742e-05,0.000335555797335656
553,11.7831428571429,2.39516770998451,10.9534090909091,2.09484824365808,15.8320909090909,3.03006700008982,9.63581818181819,9.63581818181819,-0.000831445603084944,-0.000742264279256628,-6.31588617624418e-05,-0.0015072441923989
554,7.56694681472824,2.89174519463815,5.04733898305084,1.93666599225108,15.5024915254237,3.18024691586738,4.73444067796609,4.73444067796609,-0.000193134169095653,0.00196831848402278,-8.19921243829781e-05,0.00127250633564657
555,21.0068200757576,2.45756425306006,11.0074848484849,1.31182515906886,23.3172121212121,3.17579433680295,10.9989090909091,10.9989090909091,0.000947288284632557,0.00124588266100736,-1.81940578208211e-05,0.00134353352074789
556,10.1918571428571,2.28229160607416,8.85880952380954,1.81122256570287,15.6542857142857,3.12473429557342,8.84990476190476,8.84990476190476,-0.000676553025369673,-0.000462065000723437,-7.60421577721836e-05,-0.000360379743429057
557,30.8403484042553,3.41367055423966,17.354,2.4042110397757,26.5666041666667,3.14418785223617,18.6610833333333,18.6610833333333,-1.86843015063373e-05,0.000267781341524564,-3.45032821245203e-05,-0.000154040206726016
558,10.6186,3.72308172637509,7.41842253521127,2.73305193382999,16.4978309859155,3.45415341675656,8.99914084507041,8.99914084507041,-0.000628053442600042,1.89858877958347e-06,-0.000132308892608841,-0.000505270139631378
559,29.7104756330626,2.27785698499774,20.3273369565217,1.71901240653441,24.4043478260869,2.98503264164188,20.3580543478261,20.3580543478261,-0.000730024075657872,-0.00105176904455206,-8.95163046598467e-05,-0.00100595948319595
560,78.8336509259259,5.56561789185126,47.4808888888889,3.30362425885794,54.2024938271605,4.14246331454198,48.6051728395061,48.6051728395061,-0.000178770854201855,-0.000130249869167638,-3.41642690942094e-05,-0.000351157652264756
561,5.37119758064517,3.00803365874657,3.23446875,1.60427634778457,15.48784375,3.15132519090894,4.8650625,4.8650625,0.00252841598633393,0.00683852140077824,-9.28061139053665e-05,0.000629884821061194
